,name,mass,fall,year,reclat,reclong
19129,Larkman Nunatak 06285,982.2,Found,01/01/2006,0.0,0.0
36284,Rogers,982.0,Found,01/01/1974,34.065,-103.40833
6137,Dar al Gani 364,982.0,Found,01/01/1997,27.83933,15.891829999999999
9430,Elephant Moraine 82606,981.9,Found,01/01/1982,-76.29139,157.20861000000002
25105,Miller Range 090027,981.2,Found,01/01/2009,0.0,0.0
6514,Dar al Gani 743,980.0,Found,01/01/1998,27.12067,16.084
16868,Jiddat al Harasis 405,980.0,Found,01/01/2006,19.685779999999998,56.624019999999994
12575,Geologists Range 99100,979.5,Found,01/01/1999,-82.5,155.5
33018,Queen Alexandra Range 94206,979.3,Found,01/01/1994,-84.0,168.0
37348,Sayh al Uhaymir 522,977.8,Found,01/01/2009,20.407020000000003,56.652280000000005
29791,Northwest Africa 6273,976.0,Found,01/01/2010,0.0,0.0
37862,Tanezrouft 062,974.0,Found,01/01/2002,25.42556,0.0975
7719,Dhofar 334,973.0,Found,01/01/2000,19.05667,54.698330000000006
16278,Hammadah al Hamra 301,972.0,Found,01/01/2000,28.388,13.20817
5210,Bronco,972.0,Found,01/01/1971,33.28333,-102.96667
39349,Yamato 75258,971.0,Found,01/01/1975,-71.5,35.66667
37617,Silet,971.0,Found,01/01/2004,22.78333,4.15
24092,Miller (Kansas),970.0,Found,01/01/1950,38.625,-96.02278000000001
8107,Dhofar 746,969.0,Found,01/01/2000,18.27562,54.321819999999995
33023,Queen Alexandra Range 94211,968.8,Found,01/01/1994,-84.0,168.0
16103,Hammadah al Hamra 128,968.0,Found,01/01/1995,28.5015,13.03233
16354,Hart,966.0,Found,01/01/2010,34.377179999999996,-102.11672
7986,Dhofar 615,966.0,Found,01/01/2001,19.17863,54.89285
7800,Dhofar 420,966.0,Found,01/01/2001,18.76272,54.278380000000006
4691,Asuka 881790,964.65,Found,01/01/1988,-72.0,26.0
37158,Sayh al Uhaymir 254,964.19,Found,01/01/2002,20.5989,57.020469999999996
26401,North Haig,964.0,Found,01/01/1961,-30.21667,126.21667
35687,Ramlat as Sahmah 275,963.6,Found,01/01/2008,20.5426,56.10683
28807,Northwest Africa 4607,963.5,Found,01/01/2006,0.0,0.0
2731,Allan Hills A77296,963.3,Found,01/01/1977,-76.71667,159.66666999999998
8031,Dhofar 660,963.0,Found,01/01/2001,19.12657,54.802969999999995
37059,Sayh al Uhaymir 152,963.0,Found,01/01/2002,21.036920000000002,57.28989
13294,Grosvenor Mountains 95522,962.5,Found,01/01/1995,-85.66667,175.0
4107,Asuka 881059,962.5,Found,01/01/1988,-72.0,26.0
1154,Acfer 038,962.0,Found,01/01/1989,27.53333,4.0
38293,Wellman (e),959.0,Found,01/01/1973,33.678329999999995,-102.315
1857,Allan Hills 84062,958.2,Found,01/01/1984,-76.92062,156.8752
7798,Dhofar 418,958.0,Found,01/01/2001,18.81485,54.4282
29397,Northwest Africa 5469,958.0,Found,01/01/2008,0.0,0.0
4786,Asuka 881900,957.99,Found,01/01/1988,-72.0,26.0
4850,Asuka 881974,957.42,Found,01/01/1988,-72.0,26.0
32275,Queen Alexandra Range 93023,957.1,Found,01/01/1993,-84.63053000000001,162.50492
5767,Dar al Gani 054,957.0,Found,01/01/1995,27.30483,16.30017
35680,Ramlat as Sahmah 268,956.8,Found,01/01/2008,20.581429999999997,56.1299
1560,Aiken,956.0,Found,01/01/1936,34.2,-101.5
6187,Dar al Gani 414,956.0,Found,01/01/1998,27.516170000000002,16.28333
5863,Dar al Gani 1045,955.0,Found,01/01/2005,27.495829999999998,16.258329999999997
37327,Sayh al Uhaymir 501,954.0,Found,01/01/2009,20.78533,57.26866999999999
30981,Olton,953.0,Found,01/01/1948,34.16722,-102.13361
39787,Yamato 790529,952.9,Found,01/01/1979,-71.5,35.66667
7110,Dhofar 1154,952.0,Found,01/01/2005,18.741611,54.26175
36930,Sayh al Uhaymir 025,952.0,Found,01/01/1999,21.021829999999998,57.246669999999995
2732,Allan Hills A77297,951.6,Found,01/01/1977,-76.71667,159.66666999999998
2084,Allan Hills 85022,951.5,Found,01/01/1985,-76.84391,156.36709
17190,Jiddat al Harasis 729,951.0,Found,,19.662779999999998,55.56333000000001
37666,Slobodka (of P. Partsch),950.0,Found,01/01/1838,55.0,35.0
37484,Shiraiwa,950.0,Found,01/01/1915,39.5,140.2
26445,Northwest Africa 035,950.0,Found,01/01/1999,27.16667,-9.5
12782,Graves Nunataks 95209,948.8,Found,01/01/1995,-86.71667,-141.5
35730,Ramlat as Sahmah 319,948.4,Found,01/01/2009,20.881870000000003,55.43451999999999
7384,Dhofar 1570,948.0,Found,01/01/2006,18.687829999999998,54.412169999999996
4630,Asuka 881720,947.84,Found,01/01/1988,-72.0,26.0
42515,Yamato 82055,946.75,Found,01/01/1982,-71.5,35.66667
